nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Dirigeant / Gerant;Meca Atlantique;Noyal-sur-Brutz (44);;LinkedIn;INDUSTRIE,JOB,DG,5-50,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef d'atelier | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: 5-50 | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/chef-datelier-at-meca-atlantique-3479183837 | Contexte: Meca Atlantique (mecanique industrielle) recrute un Chef d'atelier H/F en CDI pour organiser l'activite, la rentabilite et l'equipe de l'atelier.
;;;;Responsable Administratif et Financier;Meca Atlantique;Noyal-sur-Brutz (44);;LinkedIn;INDUSTRIE,JOB,RAF,5-50,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef d'atelier | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: 5-50 | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/chef-datelier-at-meca-atlantique-3479183837 | Contexte: Meca Atlantique (mecanique industrielle) recrute un Chef d'atelier H/F en CDI pour organiser l'activite, la rentabilite et l'equipe de l'atelier.
;;;;Dirigeant / Gerant;Atelier CSR;Saint-Martin-d'Heres (38);;LinkedIn;INDUSTRIE,JOB,DG,5-50,CONTACT_1,CONTACT_NON_SOURCE;Poste: Dessinateur projeteur en chaudronnerie / metallerie | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: 5-50 | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/dessinateur-projeteur-en-chaudronnerie-metallerie-h-f-at-atelier-csr-3450238164 | Contexte: Atelier CSR (chaudronnerie-metallerie) recrute un Dessinateur projeteur H/F en CDI pour l'analyse de cahiers des charges et la realisation de plans.
;;;;Responsable Administratif et Financier;Atelier CSR;Saint-Martin-d'Heres (38);;LinkedIn;INDUSTRIE,JOB,RAF,5-50,CONTACT_2,CONTACT_NON_SOURCE;Poste: Dessinateur projeteur en chaudronnerie / metallerie | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: 5-50 | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/dessinateur-projeteur-en-chaudronnerie-metallerie-h-f-at-atelier-csr-3450238164 | Contexte: Atelier CSR (chaudronnerie-metallerie) recrute un Dessinateur projeteur H/F en CDI pour l'analyse de cahiers des charges et la realisation de plans.
;;;;Directeur d'agence / Directeur technique;E2S;Saint-Etienne (42);;France Travail / diffusion Adecco;INDUSTRIE,JOB,DIRECTEUR_SITE,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Charge d'affaires Travaux CVC (Bac+2), agence Loire / Haute-Loire | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: France Travail / diffusion Adecco | Lien: NC | Contexte: E2S recrute un(e) Charge(e) d'Affaires Travaux CVC en CDI pour son agence Loire / Haute-Loire : etudes techniques, financieres, administratives et suivi de chantier.
;;;;Directeur des Ressources Humaines;E2S;Saint-Etienne (42);;France Travail / diffusion Adecco;INDUSTRIE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Charge d'affaires Travaux CVC (Bac+2), agence Loire / Haute-Loire | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: France Travail / diffusion Adecco | Lien: NC | Contexte: E2S recrute un(e) Charge(e) d'Affaires Travaux CVC en CDI pour son agence Loire / Haute-Loire : etudes techniques, financieres, administratives et suivi de chantier.
;;;;Responsable Bureau d'Etudes;SEI Groupe;Saint-Etienne (42);;LinkedIn;INDUSTRIE,JOB,RESPONSABLE_BE,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Dessinateur Projeteur Electrotechnique | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/dessinateur-projeteur-electrotechnique-h-f-at-sei-groupe-3743354451 | Contexte: SEI Groupe recrute un Dessinateur Projeteur Electrotechnique H/F en CDI a Saint-Etienne.
;;;;Directeur des Ressources Humaines;SEI Groupe;Saint-Etienne (42);;LinkedIn;INDUSTRIE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Dessinateur Projeteur Electrotechnique | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/dessinateur-projeteur-electrotechnique-h-f-at-sei-groupe-3743354451 | Contexte: SEI Groupe recrute un Dessinateur Projeteur Electrotechnique H/F en CDI a Saint-Etienne.
;;;;Directeur Commercial;SDEZ;Saverne (67);;LinkedIn;INDUSTRIE,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Charge d'affaires Grand Est (technico-commercial industriel) | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/charge-daffaires-grand-est-h-f-at-sdez-3322429608 | Contexte: SDEZ recrute un(e) Charge(e) d'affaires Grand Est H/F en CDI, en charge de la prospection de nouveaux clients dans l'industrie et l'agroalimentaire.
;;;;Directeur des Ressources Humaines;SDEZ;Saverne (67);;LinkedIn;INDUSTRIE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Charge d'affaires Grand Est (technico-commercial industriel) | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: LinkedIn | Lien: https://fr.linkedin.com/jobs/view/charge-daffaires-grand-est-h-f-at-sdez-3322429608 | Contexte: SDEZ recrute un(e) Charge(e) d'affaires Grand Est H/F en CDI, en charge de la prospection de nouveaux clients dans l'industrie et l'agroalimentaire.
;;;;Responsable Bureau d'Etudes / Directeur Technique;Ingeliance Technologies;Nantes (44);;Nantes-emplois.com;INDUSTRIE,JOB,RESPONSABLE_BE,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Technicien methodes industrialisation | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: Nantes-emplois.com | Lien: https://www.nantes-emplois.com/emplois/81680135.html | Contexte: Ingeliance Technologies (bureau d'etudes en ingenierie industrielle) recrute un Technicien methodes industrialisation en CDI sur son site de Nantes.
;;;;Talent Acquisition Manager;Ingeliance Technologies;Nantes (44);;Nantes-emplois.com;INDUSTRIE,JOB,TALENT_ACQUISITION,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Technicien methodes industrialisation | Date: NC (fraicheur 7j non verifiable - budget recherche epuise) | Effectif: NC | CA: NC | Salaire: NC | Source: Nantes-emplois.com | Lien: https://www.nantes-emplois.com/emplois/81680135.html | Contexte: Ingeliance Technologies (bureau d'etudes en ingenierie industrielle) recrute un Technicien methodes industrialisation en CDI sur son site de Nantes.
